"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.FrequencyOfOccurrence","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.FrequencyOfOccurrence","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.4.5","9.9.2.4.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.FrequencyOfOccurrence",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.5","9.9.2.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics",0,*,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Age","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Age","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.2","9.9.2.5.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Age",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.AgeRangeLow","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.AgeRangeLow","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.3","9.9.2.5.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.AgeRangeLow",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.AgeRangeHigh","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.AgeRangeHigh","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.4","9.9.2.5.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.AgeRangeHigh",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Gender","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Gender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.5","9.9.2.5.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Gender",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Race","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Race","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.6","9.9.2.5.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.Race",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.PhysiologicalCondition","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.PhysiologicalCondition","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.7","9.9.2.5.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.PopulationSpecifics.PhysiologicalCondition",0,1,"",""
"MedicinalProduct.Header","MedicinalProduct.Header","","","",1,1,"","","","BackboneElement {[]} {[]}
","9.2.2.10","9.2.2.10","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Header",1,1,"",""
"MedicinalProduct.Header.Identifier","MedicinalProduct.Header.Identifier","","","",1,1,"","","","Identifier {[]} {[]}
","9.2.2.10.2","9.2.2.10.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Header.Identifier",1,1,"",""
"MedicinalProduct.Header.EffectiveDate","MedicinalProduct.Header.EffectiveDate","","","",1,1,"","","","date {[]} {[]}
","9.2.2.10.3","9.2.2.10.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Header.EffectiveDate",1,1,"",""
"MedicinalProduct.Header.Language","MedicinalProduct.Header.Language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.10.4","9.2.2.10.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Header.Language",0,1,"",""
"MedicinalProduct.Header.VersionNumber","MedicinalProduct.Header.VersionNumber","","","",0,1,"","","","string {[]} {[]}
","9.2.2.10.5","9.2.2.10.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Header.VersionNumber",0,1,"",""
"MedicinalProduct.Header.VersionSetIdentifier","MedicinalProduct.Header.VersionSetIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","9.2.2.10.6","9.2.2.10.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Header.VersionSetIdentifier",0,1,"",""
"MedicinalProduct.Interactions","MedicinalProduct.Interactions","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.7","9.9.2.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Interactions",0,*,"",""
